Session,ID,Ocassion,Detector
1,CoyoteM05,1,CT61
1,CoyoteM05,1,CT61
1,CoyoteM05,1,CT61
1,CoyoteM05,1,CT61
1,CoyoteM05,1,CT61
1,CoyoteM05,1,CT61
1,CoyoteM05,1,CT61
1,CoyoteM05,1,CT60
1,CoyoteM05,1,CS61
1,CoyoteM05,1,CS61
1,CoyoteM05,1,CS60
1,CoyoteM06,1,DL65
1,CoyoteM06,1,CZ70
1,CoyoteM06,1,CX69
1,CoyoteM06,1,CW68
1,CoyoteM06,1,CW68
1,CoyoteM06,1,CV68
1,CoyoteM07,1,DL65
1,CoyoteM07,1,DA68
1,CoyoteM07,1,DA69
1,CoyoteM07,1,DA70
1,CoyoteM07,1,CZ68
1,CoyoteM07,1,CZ69
1,CoyoteM07,1,CZ68
1,CoyoteM07,1,CZ70
1,CoyoteM07,1,CW68
1,CoyoteM07,1,CW69
1,CoyoteM07,1,CW69
1,CoyoteM07,1,CW69
1,CoyoteM07,1,CW69
1,CoyoteM07,1,CV69
1,CoyoteM08,1,CT60
1,CoyoteM08,1,CT61
1,CoyoteM08,1,CT60
1,CoyoteM08,1,CT61
1,CoyoteM08,1,CT61
1,CoyoteM08,1,CT61
1,CoyoteM08,1,CT61
1,CoyoteM08,1,CT61
1,CoyoteM08,1,CT60
1,CoyoteM08,1,CT60
1,CoyoteM08,1,CT61
1,CoyoteM08,1,CT61
1,CoyoteM08,1,CT60
1,CoyoteM08,1,CT60
1,CoyoteM08,1,CS60
1,CoyoteM08,1,CS60
1,CoyoteM08,1,CS60
1,CoyoteM08,1,CS60
1,CoyoteM09,1,AT62
1,CoyoteM09,1,AT62
1,CoyoteM09,1,AT62
1,CoyoteM09,1,AT62
1,CoyoteM09,1,AT62
1,CoyoteM09,1,AS62
1,CoyoteM10,1,AI42
1,CoyoteM10,1,AI42
1,CoyoteM10,1,AI42
1,CoyoteM10,1,AI42
1,CoyoteM10,1,AI42
1,CoyoteM10,1,AI42
1,CoyoteM10,1,AI42
1,CoyoteM10,1,AI42
1,CoyoteM10,1,AI42
1,CoyoteM10,1,AI42
1,CoyoteM10,1,AI42
1,CoyoteM10,1,AH30
1,CoyoteM10,1,AH30
1,CoyoteM10,1,AH30
1,CoyoteM12,1,BL33
1,CoyoteM12,1,BL33
1,CoyoteM12,1,BL33
1,CoyoteM12,1,BL33
1,CoyoteM12,1,BL34
1,CoyoteM12,1,BK34
1,CoyoteM12,1,BK34
1,CoyoteM12,1,BK33
1,CoyoteM12,1,BK34
1,CoyoteM13,1,CZ68
1,CoyoteM13,1,CW69
1,CoyoteM13,1,CW69
1,CoyoteM13,1,CW68
1,CoyoteM14,1,DJ57
1,CoyoteM15,1,DR64
1,CoyoteM15,1,DR63
1,CoyoteM15,1,DR63
1,CoyoteM15,1,DQ63
1,CoyoteM16,1,DR63
1,CoyoteM16,1,DR63
1,CoyoteM16,1,DR63
1,CoyoteM16,1,DQ63
1,CoyoteM17,1,AI32
1,CoyoteM17,1,AI42
1,CoyoteM17,1,AI42
1,CoyoteM17,1,AI42
1,CoyoteM18,1,AT62
1,CoyoteM18,1,AT62
1,CoyoteM18,1,AS62
1,CoyoteM19,1,AI33
1,CoyoteM19,1,AI29
1,CoyoteM19,1,AF30
1,CoyoteM19,1,AF31
1,CoyoteM21,1,DK57
1,CoyoteM21,1,DK57
1,CoyoteM21,1,DJ57
1,CoyoteM22,1,DK57
1,CoyoteM22,1,DK57
1,CoyoteM23,1,AT62
1,CoyoteM23,1,AT62
1,CoyoteM23,1,AT62
1,CoyoteM23,1,AT62
1,CoyoteM23,1,AT62
1,CoyoteM23,1,AT62
1,CoyoteM23,1,AT62
1,CoyoteM23,1,AT62
1,CoyoteM23,1,AS62
1,CoyoteM23,1,AS62
1,CoyoteM23,1,AS62
1,CoyoteM23,1,AS62
1,CoyoteM23,1,AS62
1,CoyoteM24,1,AT62
1,CoyoteM24,1,AT62
1,CoyoteM24,1,AS62
1,CoyoteM25,1,AT62
1,CoyoteM25,1,AT62
1,CoyoteM25,1,AT62
1,CoyoteM25,1,AT62
1,CoyoteM26,1,AT62
1,CoyoteM26,1,AT62
1,CoyoteM27,1,BG26
1,CoyoteM27,1,BG25
1,CoyoteM27,1,BG26
1,CoyoteM27,1,BE17
1,CoyoteM27,1,BE17
1,CoyoteM27,1,BE17
1,CoyoteM27,1,BC18
1,CoyoteM27,1,BC17
1,CoyoteM28,1,AN44
1,CoyoteM28,1,AI42
1,CoyoteM29,1,AG31
1,CoyoteM29,1,AG30
1,CoyoteM39,1,BF18
1,CoyoteF01,1,BF55
1,CoyoteF10,1,AP23
