X,Y,NAD_X,NAD_Y,FC,HFI,pop
700128.1288,5412794.451,1775457.653,670183.3958,0.413436058,0,0
701128.1288,5412794.451,1778736.906,670089.7064,0.3560921,0,0
702128.1288,5412794.451,1782016.143,669996.011,0.179144291,0.676449143,0
703128.1288,5412794.451,1785295.363,669902.3096,0.370455175,123.4265913,0
704128.1288,5412794.451,1788574.566,669808.6022,0.491645427,206.828384,0
705128.1288,5412794.451,1791853.753,669714.8889,0.259148095,171.0433358,2.00E-14
706128.1288,5412794.451,1795132.922,669621.1695,0.115749899,19.46244987,0
707128.1288,5412794.451,1798412.074,669527.4442,0.229178174,0.003646973,0
708128.1288,5412794.451,1801691.21,669433.7129,0.497970696,10.36051815,0
709128.1288,5412794.451,1804970.328,669339.9756,0.605726698,169.3604672,0
710128.1288,5412794.451,1808249.429,669246.2324,0.555105131,94.09673893,0
711128.1288,5412794.451,1811528.512,669152.4833,0.652226619,0.022967554,0.002442725
712128.1288,5412794.451,1814807.578,669058.7281,0.563018133,1.062636562,0
713128.1288,5412794.451,1818086.627,668964.9671,0.449407524,3.358380449,0
714128.1288,5412794.451,1821365.658,668871.2001,0.332875577,20.94614823,0
715128.1288,5412794.451,1824644.671,668777.4272,0.399384472,0.743800146,0
716128.1288,5412794.451,1827923.666,668683.6483,0.535410223,0,0
717128.1288,5412794.451,1831202.644,668589.8635,0.546150213,7.924617626,0
718128.1288,5412794.451,1834481.604,668496.0728,0.482187885,674.5058309,0
719128.1288,5412794.451,1837760.545,668402.2763,0.509071322,1041.745534,0
720128.1288,5412794.451,1841039.469,668308.4738,0.644470738,180.499453,0
721128.1288,5412794.451,1844318.374,668214.6654,0.782844544,0.736698251,0
722128.1288,5412794.451,1847597.261,668120.8511,0.627848192,0.328290193,0
723128.1288,5412794.451,1850876.13,668027.0309,0.62035792,267.2451695,0
724128.1288,5412794.451,1854154.981,667933.2049,0.584675926,448.9921619,0
725128.1288,5412794.451,1857433.813,667839.3729,0.640368419,209.7349617,0
726128.1288,5412794.451,1860712.626,667745.5351,0.775363079,1.152949745,0
727128.1288,5412794.451,1863991.421,667651.6915,0.817506375,34.02715015,0
728128.1288,5412794.451,1867270.197,667557.842,0.883480535,40.545272,0
729128.1288,5412794.451,1870548.954,667463.9866,0.898651873,222.9020073,0.057956472
730128.1288,5412794.451,1873827.692,667370.1254,0.899843553,350.2169399,0.057956472
731128.1288,5412794.451,1877106.411,667276.2583,0.9364262,933.2746812,0
732128.1288,5412794.451,1880385.112,667182.3855,0.971819682,1224.360772,0
699128.1288,5411794.451,1772084.711,666997.804,0.163943213,0,0
700128.1288,5411794.451,1775363.975,666904.1371,0.409031697,0,0
701128.1288,5411794.451,1778643.222,666810.4643,0.307331816,0,0
702128.1288,5411794.451,1781922.453,666716.7856,0.08469089,0.03078885,0
703128.1288,5411794.451,1785201.667,666623.1009,0.209391895,1.842690485,0
704128.1288,5411794.451,1788480.864,666529.4104,0.366435305,97.85565883,0
705128.1288,5411794.451,1791760.045,666435.7139,0.385166706,200.9418414,0.005397392
706128.1288,5411794.451,1795039.208,666342.0116,0.281782219,178.1489245,0.010794784
707128.1288,5411794.451,1798318.355,666248.3033,0.389660809,12.32592458,0
708128.1288,5411794.451,1801597.484,666154.5892,0.488292566,1.407947503,0
709128.1288,5411794.451,1804876.596,666060.8691,0.462216305,155.1236098,0
710128.1288,5411794.451,1808155.691,665967.1432,0.519909647,156.1633582,0
711128.1288,5411794.451,1811434.769,665873.4114,0.659331757,1.129484611,0
712128.1288,5411794.451,1814713.829,665779.6738,0.677931198,0,0
713128.1288,5411794.451,1817992.871,665685.9303,0.497301167,0,0
714128.1288,5411794.451,1821271.896,665592.1809,0.485375788,0,0
715128.1288,5411794.451,1824550.904,665498.4257,0.446693045,0,0
716128.1288,5411794.451,1827829.893,665404.6647,0.548311882,0.043359446,0
717128.1288,5411794.451,1831108.865,665310.8978,0.501602166,14.04734159,0
718128.1288,5411794.451,1834387.819,665217.1251,0.454922202,941.0308225,0.012807557
719128.1288,5411794.451,1837666.755,665123.3465,0.571890021,1695.969337,0.012807557
720128.1288,5411794.451,1840945.673,665029.5622,0.747818863,608.2241883,0
721128.1288,5411794.451,1844224.572,664935.772,0.8562961,0.359591539,0
722128.1288,5411794.451,1847503.453,664841.976,0.723386765,0.060688901,0
723128.1288,5411794.451,1850782.316,664748.1742,0.671151162,33.90127505,0
724128.1288,5411794.451,1854061.161,664654.3666,0.547553504,544.564663,0
725128.1288,5411794.451,1857339.987,664560.5532,0.512385682,334.2247949,0
726128.1288,5411794.451,1860618.795,664466.734,0.723815841,1.014590553,0
727128.1288,5411794.451,1863897.584,664372.9091,0.856586637,0.15798105,0
728128.1288,5411794.451,1867176.354,664279.0783,0.936140159,219.7795591,0
729128.1288,5411794.451,1870455.105,664185.2418,0.949934532,420.7931097,0.057956472
730128.1288,5411794.451,1873733.837,664091.3995,0.958574672,406.4867079,0.057956472
731128.1288,5411794.451,1877012.551,663997.5515,0.968945641,972.7202988,0
732128.1288,5411794.451,1880291.245,663903.6977,0.976766092,860.8860944,0
733128.1288,5411794.451,1883569.921,663809.8382,0.990196518,125.3299307,0
699128.1288,5410794.451,1771991.055,663718.5348,0.259123789,0,0
700128.1288,5410794.451,1775270.313,663624.8844,0.41745135,0,0
701128.1288,5410794.451,1778549.555,663531.2282,0.181351148,2.656768082,0
702128.1288,5410794.451,1781828.779,663437.5661,0.116055657,40.4965379,0
703128.1288,5410794.451,1785107.988,663343.8982,0.117130234,3.225277727,0
704128.1288,5410794.451,1788387.179,663250.2244,0.150488233,0.137912188,0
705128.1288,5410794.451,1791666.354,663156.5449,0.299864654,57.63354603,0.010794784
706128.1288,5410794.451,1794945.511,663062.8595,0.5135969,192.0794085,0
707128.1288,5410794.451,1798224.652,662969.1683,0.490343317,163.935143,0
708128.1288,5410794.451,1801503.776,662875.4713,0.356939137,6.371334912,0
709128.1288,5410794.451,1804782.882,662781.7685,0.342345749,103.5890286,0
710128.1288,5410794.451,1808061.971,662688.0599,0.485172539,182.8401094,0
711128.1288,5410794.451,1811341.043,662594.3455,0.546567651,31.06330962,0
712128.1288,5410794.451,1814620.097,662500.6253,0.547955457,0,0
713128.1288,5410794.451,1817899.134,662406.8994,0.496958783,0,0
714128.1288,5410794.451,1821178.153,662313.1677,0.542236697,0.000182216,0
715128.1288,5410794.451,1824457.155,662219.4302,0.487998969,1.198651358,0
716128.1288,5410794.451,1827736.138,662125.6869,0.438413034,17.95735375,0
717128.1288,5410794.451,1831015.104,662031.9379,0.415944072,477.5741888,0
718128.1288,5410794.451,1834294.052,661938.1831,0.502370943,1149.992715,0.012807557
719128.1288,5410794.451,1837572.982,661844.4226,0.588736316,1301.956601,0.012807557
720128.1288,5410794.451,1840851.894,661750.6564,0.76920707,503.1361065,0
721128.1288,5410794.451,1844130.788,661656.8844,0.819100286,8.473108478,0
722128.1288,5410794.451,1847409.664,661563.1067,0.763195843,9.872495446,0
723128.1288,5410794.451,1850688.521,661469.3233,0.662774461,312.5795993,0
724128.1288,5410794.451,1853967.36,661375.5341,0.561244199,467.6273009,0
725128.1288,5410794.451,1857246.18,661281.7392,0.323278184,213.1980288,0
726128.1288,5410794.451,1860524.982,661187.9387,0.397405071,0.170104034,0
727128.1288,5410794.451,1863803.765,661094.1324,0.744383987,0.660473588,0
728128.1288,5410794.451,1867082.529,661000.3204,0.934007448,220.0727306,0
729128.1288,5410794.451,1870361.275,660906.5028,0.980545097,278.7299563,0
730128.1288,5410794.451,1873640.002,660812.6794,0.973874245,13.44567991,0
731128.1288,5410794.451,1876918.71,660718.8504,0.983477328,841.6338748,0
732128.1288,5410794.451,1880197.398,660625.0157,0.988180184,1063.904519,0
733128.1288,5410794.451,1883476.068,660531.1754,0.995406954,419.598834,0
734128.1288,5410794.451,1886754.718,660437.3294,0.988917918,353.2349079,0
699128.1288,5409794.451,1771897.416,660439.2714,0.469114676,0.036820999,0
700128.1288,5409794.451,1775176.668,660345.6375,0.499739101,0,0
701128.1288,5409794.451,1778455.904,660251.9978,0.172888995,22.03536274,0
702128.1288,5409794.451,1781735.123,660158.3524,0.161947861,132.2438935,0
703128.1288,5409794.451,1785014.325,660064.7012,0.114223429,99.947378,0
704128.1288,5409794.451,1788293.511,659971.0443,0.121011485,0.034092981,0
705128.1288,5409794.451,1791572.68,659877.3816,0.253075928,0.139390622,0
706128.1288,5409794.451,1794851.832,659783.7132,0.461908731,81.47466278,0
707128.1288,5409794.451,1798130.966,659690.0391,0.503732539,196.6676385,0.088009082
708128.1288,5409794.451,1801410.084,659596.3592,0.38505958,160.1989433,0.046627245
709128.1288,5409794.451,1804689.185,659502.6736,0.202713443,11.87860007,0.005245409
710128.1288,5409794.451,1807968.268,659408.9824,0.441034089,166.1173358,0
711128.1288,5409794.451,1811247.334,659315.2854,0.443912218,168.9272296,0
712128.1288,5409794.451,1814526.383,659221.5826,0.341167159,7.618665694,0
713128.1288,5409794.451,1817805.414,659127.8742,0.423479323,0.902749954,0
714128.1288,5409794.451,1821084.427,659034.1601,0.440436435,12.71459814,0
715128.1288,5409794.451,1824363.423,658940.4404,0.370574951,165.2833728,0
716128.1288,5409794.451,1827642.401,658846.7149,0.367289365,754.8699854,0
717128.1288,5409794.451,1830921.361,658752.9838,0.433170911,1159.281752,0.017814994
718128.1288,5409794.451,1834200.304,658659.247,0.567880344,962.2214325,0.012807557
719128.1288,5409794.451,1837479.228,658565.5045,0.671287701,221.6128327,0.012807557
720128.1288,5409794.451,1840758.134,658471.7563,0.780404643,109.3607214,0
721128.1288,5409794.451,1844037.022,658378.0026,0.875202608,9.214832362,0
722128.1288,5409794.451,1847315.892,658284.2431,0.834498964,13.07141556,0
723128.1288,5409794.451,1850594.744,658190.478,0.71947637,432.6525146,0
724128.1288,5409794.451,1853873.577,658096.7073,0.652037532,421.7546963,0
725128.1288,5409794.451,1857152.392,658002.931,0.457002151,4.461440292,0
726128.1288,5409794.451,1860431.188,657909.149,0.409770354,0,0
727128.1288,5409794.451,1863709.965,657815.3614,0.682162908,0.048104956,0
728128.1288,5409794.451,1866988.724,657721.5682,0.902950787,70.39497176,0.060878143
729128.1288,5409794.451,1870267.464,657627.7694,0.961410243,160.8125342,0
730128.1288,5409794.451,1873546.185,657533.965,0.956595828,34.15447748,0
731128.1288,5409794.451,1876824.887,657440.155,0.970242366,655.7531923,0
732128.1288,5409794.451,1880103.57,657346.3394,0.987218185,1800.37345,0
733128.1288,5409794.451,1883382.234,657252.5182,0.982392662,2390.76461,0
734128.1288,5409794.451,1886660.879,657158.6915,0.981013169,1686.142623,0
735128.1288,5409794.451,1889939.504,657064.8592,0.968743347,2008.098779,0
698128.1288,5408794.451,1768524.53,657253.6255,0.194335225,110.863595,0
699128.1288,5408794.451,1771803.793,657160.0138,0.412482384,49.35580251,0
700128.1288,5408794.451,1775083.039,657066.3964,0.428995529,3.59650082,0
701128.1288,5408794.451,1778362.269,656972.7733,0.251260875,0.746124384,0
702128.1288,5408794.451,1781641.483,656879.1445,0.248586914,148.3868613,0
