Detector,X,Y,sep,Effort
OK_248,725957.0642,5404760.56,/,3
OK_286,725972.8704,5403747.93,/,3
OK_325,726070.1518,5402935.735,/,3
OK_365,726271.4891,5401611.764,/,3
OK_404,723348.0854,5400696.096,/,3
OK_405,724347.1397,5400729.121,/,3
OK_406,725346.1994,5400762.152,/,3
OK_407,726270.1983,5400761.237,/,3
OK_408,726891.2102,5400336.744,/,3
OK_449,723381.1046,5399697.042,/,3
OK_450,724380.1651,5399730.061,/,3
OK_452,726378.3024,5399796.119,/,3
OK_499,723414.1185,5398697.98,/,3
OK_500,724413.1854,5398730.994,/,3
OK_560,722448.0593,5397665.91,/,2
OK_561,723447.1271,5397698.913,/,3
OK_623,722481.0563,5396666.842,/,3
OK_624,723480.1303,5396699.839,/,1
OK_652,687549.3971,5394516.921,/,3
OK_667,702533.5229,5395009.219,/,4
OK_687,722514.0481,5395667.767,/,3
OK_710,680589.8786,5393288.773,/,5
OK_717,687582.1689,5393518.01,/,5
OK_718,688581.0849,5393550.783,/,5
OK_730,700568.4304,5393944.529,/,4
OK_731,701567.406,5393977.381,/,4
OK_732,702566.3864,5394010.239,/,4
OK_733,703565.3716,5394043.104,/,4
OK_752,722547.0345,5394668.686,/,3
OK_753,723546.1208,5394701.673,/,3
OK_776,679623.7157,5392257.168,/,2
OK_777,680622.6034,5392289.887,/,5
OK_778,681621.4952,5392322.612,/,5
OK_779,682620.3912,5392355.344,/,5
OK_780,683619.2914,5392388.082,/,5
OK_784,687614.9362,5392519.094,/,5
OK_785,688613.8583,5392551.862,/,5
OK_786,689612.7848,5392584.636,/,5
OK_793,696605.397,5392814.226,/,2
OK_797,700601.2768,5392945.553,/,4
OK_799,702599.2451,5393011.253,/,4
OK_800,703598.2363,5393044.113,/,4
OK_806,709592.2863,5393241.397,/,2
OK_807,710591.3119,5393274.298,/,2
OK_809,712589.378,5393340.121,/,1
OK_810,713588.4187,5393373.041,/,1
OK_811,714587.4643,5393405.968,/,1
OK_819,722580.0156,5393669.6,/,3
OK_820,723579.1081,5393702.581,/,3
OK_841,679656.4302,5391258.279,/,5
OK_842,680655.3238,5391290.994,/,5
OK_845,683652.0301,5391389.177,/,2
OK_846,684650.9408,5391421.916,/,2
OK_850,688646.6272,5391552.935,/,5
OK_857,695639.2499,5391782.449,/,2
OK_858,696638.2144,5391815.262,/,2
OK_860,698636.157,5391880.904,/,4
OK_861,699635.1355,5391913.734,/,4
OK_862,700634.1185,5391946.571,/,4
OK_864,702632.099,5392012.261,/,4
OK_865,703631.0964,5392045.115,/,5
OK_870,708626.1561,5392209.48,/,1
OK_871,709625.1827,5392242.371,/,2
OK_873,711623.2511,5392308.17,/,1
OK_874,712622.2928,5392341.08,/,1
OK_875,713621.3395,5392373.995,/,1
OK_876,714620.3914,5392406.917,/,1
OK_884,722612.9914,5392670.507,/,3
OK_885,723612.0901,5392703.484,/,3
OK_916,684683.6812,5390423,/,2
OK_917,685682.6022,5390455.741,/,2
OK_918,686681.5276,5390488.489,/,2
OK_920,688679.3917,5390554.001,/,5
OK_926,694673.0909,5390750.683,/,2
OK_927,695672.0567,5390783.484,/,2
OK_928,696671.0272,5390816.292,/,2
OK_929,697670.0022,5390849.105,/,2
OK_930,698668.9819,5390881.925,/,4
OK_931,699667.9663,5390914.751,/,4
OK_935,703663.9515,5391046.113,/,1
OK_936,704662.9598,5391078.969,/,1
OK_940,708659.0416,5391210.452,/,1
OK_941,709658.0743,5391243.339,/,2
OK_942,710657.1121,5391276.23,/,1
OK_943,711656.1548,5391309.128,/,1
OK_945,713654.2553,5391374.943,/,5
OK_954,722645.962,5391671.408,/,6
OK_988,686714.2756,5389489.558,/,2
OK_990,688712.1516,5389555.062,/,5
OK_991,689711.0963,5389587.822,/,5
OK_995,693706.9198,5389718.925,/,2
OK_996,694705.8871,5389751.716,/,2
OK_999,697702.8163,5389850.126,/,2
OK_1000,698701.8021,5389882.939,/,2
OK_1001,699700.7926,5389915.76,/,4
OK_1006,704695.8162,5390079.955,/,1
OK_1007,705694.8353,5390112.812,/,1
OK_1010,708691.9221,5390211.419,/,3
OK_1011,709690.9609,5390244.3,/,3
OK_1012,710690.0048,5390277.187,/,1
OK_1014,712688.1072,5390342.979,/,4
OK_1015,713687.1661,5390375.884,/,5
OK_1016,714686.23,5390408.796,/,5
