Detector,X,Y,sep,Effort
NE_2124,432401.0059,5351109.106,/,4
NE_2125,433399.2924,5351064.458,/,4
NE_2126,434397.5777,5351019.815,/,3
NE_2127,435395.8618,5350975.176,/,3
NE_2128,436394.1446,5350930.543,/,3
NE_2142,450369.9916,5350306.191,/,3
NE_2143,451368.2592,5350261.631,/,3
NE_2144,452366.5264,5350217.076,/,3
NE_2145,453364.7924,5350172.525,/,3
NE_2192,431358.0633,5350155.467,/,7
NE_2193,432356.3561,5350110.816,/,7
NE_2194,433354.6475,5350066.17,/,3
NE_2195,434352.9376,5350021.527,/,3
NE_2210,449327.1562,5349352.484,/,3
NE_2211,450325.4295,5349307.92,/,3
NE_2258,429316.8106,5349246.487,/,7
NE_2259,430315.111,5349201.827,/,7
NE_2260,431313.4099,5349157.172,/,7
NE_2277,448284.311,5348398.776,/,3
NE_2278,449282.5901,5348354.208,/,3
NE_2279,450280.8683,5348309.645,/,1
NE_2280,451279.1458,5348265.086,/,1
NE_2325,428273.8423,5348292.848,/,7
NE_2326,429272.1489,5348248.184,/,7
NE_2343,446243.1707,5347489.643,/,1
NE_2344,447241.4562,5347445.066,/,3
NE_2345,448239.741,5347400.494,/,3
NE_2348,451234.59,5347266.807,/,1
NE_2396,429227.4883,5347249.875,/,7
NE_2398,431224.1069,5347160.566,/,4
NE_2418,451190.0353,5346268.523,/,4
NE_2419,452188.3216,5346223.971,/,4
NE_2420,453186.6069,5346179.424,/,3
NE_2421,454184.8914,5346134.881,/,3
NE_2435,468160.8096,5345511.784,/,1
NE_2436,469159.0857,5345467.312,/,1
NE_2437,470157.3614,5345422.845,/,1
NE_2438,471155.6368,5345378.383,/,1
NE_2439,472153.9119,5345333.925,/,1
NE_2440,473152.1866,5345289.473,/,1
NE_2464,429182.8292,5346251.563,/,7
NE_2465,430181.1442,5346206.906,/,7
NE_2466,431179.4575,5346162.256,/,7
NE_2485,450147.1898,5345314.79,/,4
NE_2486,451145.4814,5345270.233,/,3
NE_2489,454140.3519,5345136.594,/,3
NE_2503,468116.336,5344513.505,/,1
NE_2505,470112.8971,5344424.567,/,1
NE_2506,471111.177,5344380.106,/,1
NE_2510,475104.2945,5344202.304,/,1
NE_2511,476102.5733,5344157.866,/,1
NE_2512,477100.8517,5344113.431,/,1
NE_2513,478099.1302,5344069.003,/,1
NE_2547,443114.5315,5344628.513,/,5
NE_2548,444112.8345,5344583.925,/,5
NE_2549,445111.1364,5344539.341,/,5
NE_2550,446109.4373,5344494.763,/,5
NE_2551,447107.7374,5344450.188,/,5
NE_2553,449104.3346,5344361.055,/,2
NE_2554,450102.6319,5344316.496,/,4
NE_2558,454095.8129,5344138.303,/,3
NE_2571,467073.5766,5343559.697,/,1
NE_2572,468071.8625,5343515.221,/,1
NE_2579,475059.8539,5343204.023,/,1
NE_2581,477056.4204,5343115.152,/,1
NE_2582,478054.7033,5343070.722,/,1
NE_2610,431090.1624,5344165.62,/,3
NE_2611,432088.4841,5344120.977,/,3
NE_2621,442071.6329,5343674.799,/,5
NE_2622,443069.9416,5343630.207,/,5
NE_2632,453052.9759,5343184.547,/,3
NE_2633,454051.2746,5343140.007,/,3
NE_2634,455049.5726,5343095.472,/,5
NE_2635,456047.8698,5343050.941,/,3
NE_2637,458044.4623,5342961.893,/,1
NE_2645,466030.8082,5342605.889,/,1
NE_2646,467029.0989,5342561.409,/,1
NE_2654,475015.4131,5342205.737,/,1
NE_2655,476013.7012,5342161.299,/,1
NE_2691,430047.1893,5343211.943,/,2
NE_2692,431045.5169,5343167.296,/,5
NE_2693,432043.8434,5343122.653,/,5
NE_2700,439032.0928,5342810.287,/,2
NE_2701,440030.4094,5342765.683,/,5
NE_2702,441028.7248,5342721.083,/,5
NE_2703,442027.0392,5342676.487,/,5
NE_2716,455005.0397,5342097.172,/,6
NE_2717,456003.3417,5342052.642,/,5
NE_2718,457001.6428,5342008.116,/,3
NE_2719,457999.9432,5341963.595,/,1
NE_2725,463989.7338,5341696.567,/,1
NE_2726,464988.0301,5341652.079,/,1
NE_2727,465986.3263,5341607.595,/,1
NE_2736,474970.973,5341207.447,/,1
NE_2737,475969.2655,5341163.009,/,1
NE_2772,428005.8715,5342302.918,/,2
NE_2773,429004.2067,5342258.262,/,2
NE_2774,430002.5404,5342213.612,/,2
NE_2775,431000.8728,5342168.967,/,2
NE_2776,431999.2038,5342124.325,/,5
NE_2777,432997.5336,5342079.689,/,6
NE_2778,433995.8621,5342035.057,/,5
NE_2779,434994.1893,5341990.43,/,3
NE_2784,439985.8073,5341767.364,/,5
NE_2801,456957.1201,5341009.813,/,2
NE_2807,462946.9416,5340742.761,/,1
NE_2808,463945.2431,5340698.269,/,1
NE_2809,464943.5443,5340653.78,/,1
NE_2819,474926.5328,5340209.152,/,2
NE_2857,427961.2146,5341304.58,/,2
NE_2863,433951.2332,5341036.726,/,2
NE_2864,434949.5652,5340992.101,/,5
NE_2865,435947.8958,5340947.48,/,5
NE_2866,436946.2253,5340902.863,/,5
NE_2867,437944.5535,5340858.251,/,5
NE_2868,438942.8806,5340813.644,/,5
NE_2869,439941.2065,5340769.041,/,5
NE_2920,490854.909,5338500.394,/,1
NE_3007,489812.2355,5337546.46,/,1
NE_3008,490810.5411,5337502.09,/,1
NE_3009,491808.847,5337457.725,/,1
NE_3072,467805.0306,5337525.425,/,1
NE_3073,468803.3437,5337480.956,/,1
NE_3074,469801.6562,5337436.492,/,1
NE_3075,470799.9684,5337392.033,/,1
NE_3095,490766.1732,5336503.783,/,2
NE_3159,467760.5602,5336527.109,/,1
NE_3160,468758.8777,5336482.641,/,1
NE_3161,469757.1947,5336438.178,/,1
NE_3162,470755.5112,5336393.719,/,1
NE_3171,479740.3486,5335993.787,/,3
NE_3172,480738.6629,5335949.372,/,4
NE_3173,481736.977,5335904.963,/,1
NE_3243,465719.4451,5335617.738,/,1
NE_3244,466717.7678,5335573.262,/,1
NE_3245,467716.0901,5335528.789,/,1
NE_3246,468714.412,5335484.322,/,1
NE_3257,479695.9318,5334995.471,/,2
NE_3258,480694.2506,5334951.056,/,1
NE_3259,481692.5693,5334906.646,/,1
NE_3326,464676.6388,5334663.893,/,1
NE_3327,465674.9666,5334619.413,/,1
NE_3328,466673.2937,5334574.937,/,1
NE_3329,467671.6205,5334530.465,/,1
NE_3330,468669.9468,5334485.998,/,2
NE_3342,480649.8383,5333952.735,/,1
NE_3343,481648.1614,5333908.326,/,1
NE_3412,467627.1513,5333532.136,/,1
NE_3413,468625.4819,5333487.669,/,2
NE_3493,467582.6824,5332533.803,/,1
NE_3571,467538.2141,5331535.466,/,1
NE_3572,468536.5536,5331491,/,1
NE_2903,473883.791,5339255.295,/,1
NE_849,457205.8393,5369005.01,/,1
NE_776,454255.8972,5370136.837,/,1
