X,Y,NAD_X,NAD_Y,FC,HFI,pop
463469.765,5388969.168,2446886.298,620366.5147,0.902840901,4124.9144,0.959824377
464469.765,5388969.168,2450164.266,620530.1049,0.888203405,3743.997995,0.069661155
465469.765,5388969.168,2453442.237,620693.6904,0.854311305,2221.075269,0
466469.765,5388969.168,2456720.21,620857.2713,0.923135788,2733.194789,0
467469.765,5388969.168,2459998.187,621020.8475,0.974338985,1829.890975,0
468469.765,5388969.168,2463276.167,621184.419,0.953225699,516.0876617,0
469469.765,5388969.168,2466554.149,621347.9859,0.926882568,354.2383382,0
412469.765,5387969.168,2279879.833,608739.6367,0.808306007,2795.004192,0
413469.765,5387969.168,2283157.528,608903.4515,0.819054335,1306.806957,0.005525378
414469.765,5387969.168,2286435.231,609067.2619,0.814701469,342.799016,0.173648185
415469.765,5387969.168,2289712.941,609231.0679,0.626295794,143.5823615,0.289166421
416469.765,5387969.168,2292990.658,609394.8696,0.75662014,1180.884903,13.50953476
417469.765,5387969.168,2296268.382,609558.6669,0.582013785,3939.150583,13.95804439
418469.765,5387969.168,2299546.113,609722.4599,0.099110161,2465.527525,2.29587644
419469.765,5387969.168,2302823.851,609886.2486,0.033183321,1674.450082,0
420469.765,5387969.168,2306101.596,610050.0328,0.489624465,4098.360898,1.173341534
421469.765,5387969.168,2309379.347,610213.8127,0.927440386,2952.553956,2.2752648
422469.765,5387969.168,2312657.106,610377.5882,0.994574054,2070.075032,0.223422337
450469.765,5387969.168,2404436.692,614961.5036,0.969259442,3394.720489,0
451469.765,5387969.168,2407714.607,615125.1499,0.907468619,3235.03048,0
452469.765,5387969.168,2410992.526,615288.7917,0.961137459,2585.488419,0
453469.765,5387969.168,2414270.45,615452.429,0.997424772,892.6735289,0
454469.765,5387969.168,2417548.377,615616.0617,0.993191846,1328.172803,0
455469.765,5387969.168,2420826.308,615779.6898,0.98053365,1993.665695,0
456469.765,5387969.168,2424104.243,615943.3134,0.973045536,1705.640853,0
457469.765,5387969.168,2427382.182,616106.9325,0.983287106,1815.358965,0.509961575
458469.765,5387969.168,2430660.124,616270.547,0.988133707,2463.699909,0.241308808
459469.765,5387969.168,2433938.07,616434.1569,0.998722025,2479.952633,2.29E-24
460469.765,5387969.168,2437216.02,616597.7623,0.984658106,2854.1793,2.67E-13
461469.765,5387969.168,2440493.973,616761.3631,0.923336064,3922.893567,0.957807578
462469.765,5387969.168,2443771.929,616924.9593,0.914602366,3847.631819,1.454748114
463469.765,5387969.168,2447049.889,617088.551,0.932463599,2149.531193,1.751618187
464469.765,5387969.168,2450327.852,617252.138,0.987712332,1136.335403,0
465469.765,5387969.168,2453605.818,617415.7205,0.929346112,1043.813695,0
466469.765,5387969.168,2456883.787,617579.2984,0.894769575,1997.172954,0
467469.765,5387969.168,2460161.76,617742.8716,0.961716917,1009.799089,0
468469.765,5387969.168,2463439.735,617906.4403,0.978431455,273.7610716,0
469469.765,5387969.168,2466717.712,618070.0044,0.96504001,426.3416545,0
470469.765,5387969.168,2469995.693,618233.5638,0.986033908,532.5378167,0
411469.765,5386969.168,2276765.962,605298.1354,0.944677466,1751.046647,0
412469.765,5386969.168,2280043.646,605461.9471,0.890821981,942.2331087,0
413469.765,5386969.168,2283321.337,605625.7545,0.896492607,785.4784985,3.29E-13
414469.765,5386969.168,2286599.036,605789.5576,0.820163003,427.570438,0.190852493
415469.765,5386969.168,2289876.741,605953.3565,0.725403764,317.3491513,0.254469991
416469.765,5386969.168,2293154.454,606117.1511,0.773424339,2858.523705,3.921457177
417469.765,5386969.168,2296432.174,606280.9415,0.453171834,5488.653482,13.52665087
418469.765,5386969.168,2299709.901,606444.7276,0.192857932,3148.950246,18.76920721
419469.765,5386969.168,2302987.634,606608.5094,0.055498833,1474.017678,3.783897976
420469.765,5386969.168,2306265.375,606772.2869,0.354145534,4161.143847,1.113458828
421469.765,5386969.168,2309543.122,606936.0601,0.836986862,3755.624499,7.300987543
422469.765,5386969.168,2312820.876,607099.829,0.961507024,1459.588739,1.682327509
423469.765,5386969.168,2316098.636,607263.5936,0.948661605,2128.691075,0.15394865
424469.765,5386969.168,2319376.403,607427.3539,0.928410208,1972.321864,4.723232786
425469.765,5386969.168,2322654.176,607591.1099,0.899991388,2034.362691,2.582815462
426469.765,5386969.168,2325931.955,607754.8616,0.84155753,1821.691002,1.088677014
427469.765,5386969.168,2329209.741,607918.6089,0.894264531,1824.400693,1.312982842
428469.765,5386969.168,2332487.533,608082.352,0.937682698,2164.441547,0.918021171
429469.765,5386969.168,2335765.33,608246.0907,0.931946374,1503.762712,1.51017189
430469.765,5386969.168,2339043.134,608409.825,0.778304567,3068.602515,25.88022331
431469.765,5386969.168,2342320.944,608573.555,0.362488958,5439.476399,23.91442422
432469.765,5386969.168,2345598.759,608737.2807,0.498165996,4112.927687,4.81972998
433469.765,5386969.168,2348876.581,608901.002,0.814458453,2453.389031,2.334415581
434469.765,5386969.168,2352154.407,609064.7189,0.855761484,2434.79519,1.417654639
435469.765,5386969.168,2355432.24,609228.4315,0.798037061,1249.30922,0.148758582
436469.765,5386969.168,2358710.078,609392.1397,0.71261708,13.16037908,0
449469.765,5386969.168,2401322.433,611519.9466,0.986761605,2061.676755,0
450469.765,5386969.168,2404600.339,611683.5931,0.991348606,3517.359007,0
451469.765,5386969.168,2407878.249,611847.2352,0.98753528,3035.798942,0
452469.765,5386969.168,2411156.164,612010.8728,0.983124897,1543.752963,0
453469.765,5386969.168,2414434.082,612174.506,0.998028431,559.0300875,0
454469.765,5386969.168,2417712.005,612338.1347,0.969268631,841.90924,0
455469.765,5386969.168,2420989.932,612501.759,0.959466649,924.73689,0
456469.765,5386969.168,2424267.862,612665.3788,0.989953412,1269.624453,0
457469.765,5386969.168,2427545.797,612828.9941,0.998118711,1968.203609,0
458469.765,5386969.168,2430823.735,612992.6049,0.999313446,2367.511399,0.241308808
459469.765,5386969.168,2434101.676,613156.2113,0.962543654,3362.223579,2.060513973
460469.765,5386969.168,2437379.621,613319.8132,0.852372867,4479.757239,2.667376722
461469.765,5386969.168,2440657.57,613483.4106,0.828372208,3727.984147,0.73233549
462469.765,5386969.168,2443935.522,613647.0035,0.886748818,2018.55884,0.819161206
463469.765,5386969.168,2447213.477,613810.5919,0.984496713,1112.422003,0
464469.765,5386969.168,2450491.435,613974.1758,1,169.5259799,0
465469.765,5386969.168,2453769.397,614137.7551,0.979922494,266.4367711,0
466469.765,5386969.168,2457047.362,614301.33,0.939653475,746.564663,0
467469.765,5386969.168,2460325.329,614464.9004,0.993357455,143.3353981,0
468469.765,5386969.168,2463603.3,614628.4662,0.987756309,3.516217201,0
469469.765,5386969.168,2466881.273,614792.0275,0.980112209,110.5631723,0
470469.765,5386969.168,2470159.249,614955.5843,0.968346623,214.4582117,0
410469.765,5385969.168,2273652.1,601856.6489,0.998717786,2438.017678,0
411469.765,5385969.168,2276929.772,602020.4573,0.985567067,1896.366138,0
412469.765,5385969.168,2280207.452,602184.2616,0.94836803,1082.92723,0
413469.765,5385969.168,2283485.139,602348.0617,0.9716509,881.4258888,3.29E-13
414469.765,5385969.168,2286762.833,602511.8576,0.974966705,724.722131,0.190852493
415469.765,5385969.168,2290040.534,602675.6494,0.922568041,1663.295276,3.670048036
416469.765,5385969.168,2293318.243,602839.4369,0.712226998,4490.022263,12.12055177
417469.765,5385969.168,2296595.959,603003.2203,0.305357007,7126.590197,32.7139581
418469.765,5385969.168,2299873.681,603166.9995,0.387211882,6508.414239,35.51026149
419469.765,5385969.168,2303151.411,603330.7744,0.266600118,3181.039141,5.539075375
420469.765,5385969.168,2306429.147,603494.5452,0.26686013,4596.979588,11.12505817
421469.765,5385969.168,2309706.89,603658.3118,0.689125743,4718.690303,12.5860061
422469.765,5385969.168,2312984.639,603822.0741,0.901372355,2734.559118,1.357228365
423469.765,5385969.168,2316262.395,603985.8322,0.787612798,2208.194424,2.808929756
424469.765,5385969.168,2319540.158,604149.5861,0.775560803,2097.226958,7.697164464
