Detector,X,Y,sep,Effort
BE15,542989.807,5278651.724,/,2
BE16,543232.0966,5278642.132,/,4
BE17,543482.0966,5278642.132,/,6
BE18,543732.0966,5278642.132,/,5
BE19,543982.0966,5278642.132,/,2
BE20,544232.0966,5278642.132,/,3
BE21,544482.0966,5278642.132,/,3
BE42,549732.0966,5278642.132,/,2
BE54,552732.0966,5278642.132,/,2
BE55,552982.0966,5278642.132,/,3
BE56,553232.0966,5278642.132,/,2
BE57,553482.0966,5278642.132,/,2
BE59,553982.0966,5278642.132,/,1
BE60,554232.0966,5278642.132,/,2
BF15,543075.0956,5278476.172,/,1
BF16,543242.3842,5278400.922,/,1
BF17,543482.0966,5278392.132,/,5
BF18,543732.0966,5278392.132,/,5
BF20,544232.0966,5278392.132,/,3
BF21,544482.0966,5278392.132,/,3
BF54,552732.0966,5278392.132,/,4
BF55,552982.0966,5278392.132,/,6
BF56,553232.0966,5278392.132,/,8
BF57,553482.7106,5278401.672,/,4
BG17,543484.7984,5278144.84,/,2
BG18,543732.0966,5278142.132,/,5
BG19,543982.0966,5278142.132,/,5
BG20,544232.0966,5278142.132,/,5
BG21,544482.0966,5278142.132,/,3
BG25,545482.0966,5278142.132,/,7
BG26,545732.0966,5278142.132,/,9
BG27,545982.0966,5278142.132,/,8
BG53,552482.0966,5278142.132,/,1
BG54,552719.7149,5278161.198,/,3
BG55,552979.1479,5278161.111,/,5
BG56,553206.7027,5278186.312,/,5
BJ29,546482.0966,5277392.132,/,2
BJ30,546732.0966,5277392.132,/,2
BK23,544982.0966,5277142.132,/,6
BK24,545232.0966,5277142.132,/,6
BK29,546482.0966,5277142.132,/,2
BK33,547482.0966,5277142.132,/,8
BK34,547732.0966,5277142.132,/,18
BK35,547982.0966,5277142.132,/,3
BK36,548232.0966,5277142.132,/,3
BL23,544982.0966,5276892.132,/,6
BL24,545232.0966,5276892.132,/,6
BL33,547482.0966,5276892.132,/,12
BL34,547732.0966,5276892.132,/,14
BL35,547982.0966,5276892.132,/,3
BL36,548232.0966,5276892.132,/,3
BM30,546732.0966,5276642.132,/,1
BM55,552976.6337,5276629.529,/,2
BN54,552732.0966,5276392.132,/,1
BN55,552982.0966,5276392.132,/,2
BO48,551232.0966,5276142.132,/,5
BO49,551482.0966,5276142.132,/,5
BO51,551982.0966,5276142.132,/,9
BO52,552232.0966,5276142.132,/,7
BO54,552732.0966,5276142.132,/,2
BO55,552982.0966,5276142.132,/,2
BO60,554230.4469,5276143.04,/,1
BP48,551232.0966,5275892.132,/,3
BP49,551482.0966,5275892.132,/,3
BP50,551732.0966,5275892.132,/,3
BP51,551982.0966,5275892.132,/,7
BP52,552232.0966,5275892.132,/,7
BP54,552732.0966,5275892.132,/,2
BP55,552982.0966,5275892.132,/,3
BP60,554231.9511,5275892.003,/,1
BQ48,551232.0966,5275642.132,/,3
BQ49,551482.0966,5275642.132,/,3
BQ50,551732.0966,5275642.132,/,3
BQ51,551982.0966,5275642.132,/,7
BQ54,552732.0966,5275642.132,/,2
BQ55,552982.0966,5275642.132,/,2
BQ56,553232.0966,5275642.132,/,1
BR54,552732.0966,5275392.132,/,2
BR55,552982.0966,5275392.132,/,2
BS33,547482.0966,5275142.132,/,1
BS34,547732.0966,5275142.132,/,1
