Detector,X,Y,sep,Effort
NE_560,446168.2103,5373226.956,/,1
NE_629,446353.7462,5372484.56,/,1
NE_630,447384.7419,5372279.02,/,1
NE_680,428348.0364,5372295.465,/,1
NE_681,429346.2206,5372250.763,/,1
NE_682,430344.4032,5372206.067,/,1
NE_683,431342.5846,5372161.378,/,1
NE_684,432340.765,5372116.693,/,1
NE_699,447313.3331,5371447.071,/,1
NE_700,448311.4965,5371402.473,/,1
NE_701,449309.6589,5371357.88,/,2
NE_702,450307.8208,5371313.294,/,2
NE_750,428303.333,5371297.277,/,1
NE_752,430299.7107,5371207.882,/,1
NE_753,431297.8977,5371163.193,/,1
NE_754,432296.0834,5371118.51,/,1
NE_755,433294.2678,5371073.832,/,1
NE_769,447268.7328,5370448.905,/,2
NE_770,448266.9015,5370404.308,/,2
NE_771,449265.0694,5370359.716,/,2
NE_772,450263.2365,5370315.129,/,2
NE_773,451261.4028,5370270.548,/,2
NE_774,452259.5683,5370225.973,/,2
NE_775,453257.7329,5370181.402,/,2
NE_776,454255.8972,5370136.837,/,2
NE_777,455254.0603,5370092.277,/,2
NE_820,428258.6312,5370299.085,/,1
NE_821,429256.8261,5370254.386,/,1
NE_822,430255.0197,5370209.693,/,1
NE_823,431253.2122,5370165.004,/,1
NE_834,442233.2491,5369673.795,/,2
NE_835,443231.4279,5369629.172,/,2
NE_836,444229.6055,5369584.554,/,2
NE_838,446225.9582,5369495.334,/,2
NE_839,447224.1333,5369450.733,/,2
NE_840,448222.3074,5369406.137,/,1
NE_841,449220.4807,5369361.545,/,1
NE_845,453213.1657,5369183.235,/,2
NE_846,454211.3352,5369138.671,/,2
NE_847,455209.5038,5369094.111,/,2
NE_848,456207.6717,5369049.558,/,2
NE_849,457205.8393,5369005.01,/,2
NE_892,429212.1308,5369256.189,/,1
NE_893,430210.3299,5369211.497,/,1
NE_907,444184.991,5368586.374,/,2
NE_908,445183.1731,5368541.763,/,2
NE_909,446181.3543,5368497.157,/,2
NE_920,457161.2939,5368006.839,/,2
NE_921,458159.4661,5367962.297,/,2
NE_922,459157.6374,5367917.76,/,2
NE_923,460155.8085,5367873.229,/,1
NE_977,446136.7513,5367498.973,/,2
NE_978,447134.9369,5367454.373,/,2
NE_989,458114.9266,5366964.123,/,2
NE_990,459113.1033,5366919.586,/,2
NE_991,460111.2796,5366875.055,/,1
NE_1024,423133.457,5367528.026,/,2
NE_1025,424131.6751,5367483.305,/,2
NE_1048,447090.34,5366456.185,/,2
NE_1049,448088.5301,5366411.592,/,2
NE_1050,449086.7192,5366367.003,/,2
NE_1051,450084.9076,5366322.42,/,2
NE_1061,460066.7512,5365876.877,/,1
NE_1062,461064.932,5365832.351,/,1
NE_1093,423088.7339,5366529.805,/,2
NE_1094,424086.9573,5366485.085,/,2
NE_1117,447045.744,5365457.993,/,2
NE_1118,448043.9393,5365413.399,/,2
NE_1119,449042.1338,5365368.812,/,2
NE_1120,450040.3275,5365324.229,/,2
NE_1130,460022.2232,5364878.693,/,2
NE_1131,461020.4094,5364834.168,/,1
NE_1159,421047.5501,5365621.03,/,1
NE_1160,422045.7818,5365576.301,/,1
NE_1186,447999.3495,5364415.202,/,2
NE_1187,448997.5492,5364370.615,/,2
NE_1188,449995.7481,5364326.033,/,2
NE_1194,455984.9248,5364058.653,/,1
NE_1195,456983.1187,5364014.108,/,1
NE_1198,459977.6961,5363880.504,/,2
NE_1199,460975.8874,5363835.979,/,1
NE_1226,420004.5806,5364667.528,/,1
NE_1227,421002.8193,5364622.795,/,1
NE_1228,422001.0563,5364578.068,/,1
NE_1229,422999.292,5364533.346,/,1
NE_1231,424995.7585,5364443.918,/,1
NE_1252,445958.348,5363506.187,/,1
NE_1253,446956.5548,5363461.591,/,6
NE_1254,447954.7605,5363416.999,/,7
NE_1255,448952.9655,5363372.414,/,2
NE_1256,449951.1695,5363327.833,/,1
NE_1259,452945.7769,5363194.122,/,1
NE_1263,456938.5764,5363015.912,/,1
NE_1264,457936.7746,5362971.372,/,1
